"students","teachers","read","math"
195,10.8999996185303,691.599975585938,690
240,11.1499996185303,660.5,661.900024414062
1550,82.9000015258789,636.299987792969,650.900024414062
243,14,651.900024414062,643.5
1335,71.5,641.799987792969,639.900024414062
137,6.40000009536743,605.700012207031,605.400024414062
195,10,604.5,609
888,42.5,605.5,612.5
379,19,608.900024414062,616.099975585938
2247,108,611.900024414062,613.400024414062
446,21,612.799987792969,618.700012207031
987,47,616.599975585938,616
103,5,612.799987792969,619.799987792969
487,24.3400001525879,610,622.599975585938
649,36,611.900024414062,621
852,42.0699996948242,614.799987792969,619.900024414062
491,28.9200000762939,611.700012207031,624.400024414062
421,25.5,614.900024414062,621.700012207031
6880,303.029998779297,619.099975585938,620.5
2688,135,621.299987792969,619.299987792969
440,24,615.599975585938,625.400024414062
475,21,619.900024414062,622.900024414062
2538,130.5,622.900024414062,620.599975585938
476,19,620.700012207031,623.400024414062
2357,114,619.5,625.700012207031
1588,85,625,621.200012207031
7306,319.799987792969,620.400024414062,626
2601,135,616.5,630.400024414062
847,44,620.099975585938,627.099975585938
452,22,627.900024414062,620.400024414062
4142,201,620.400024414062,628.700012207031
2102,99.75,623,626.900024414062
10012,464.899993896484,620.799987792969,629.799987792969
2488,125,626.099975585938,625.599975585938
25151,1186.69995117188,625.400024414062,626.799987792969
2267,103.680000305176,625.400024414062,628.200012207031
1657,90.4000015258789,623.599975585938,630.200012207031
284,17.5,628.900024414062,625.299987792969
5370,280,624.400024414062,630.099975585938
2471,121.860000610352,627.5,627.099975585938
15386,669.359985351562,627.799987792969,628.700012207031
184,9,621.599975585938,635.200012207031
1217,61.4000015258789,629.400024414062,627.700012207031
6219,268,621.099975585938,636.200012207031
4258,221,626.5,631
1235,53,630.200012207031,629.400024414062
16244,766.650024414062,629.5,631.200012207031
814,39,631.900024414062,628.900024414062
27176,1429,631.599975585938,629.5
10696,487.970001220703,628.5,632.599975585938
8935,444.5,628.400024414062,633.700012207031
1600,74.5,635.700012207031,627.099975585938
9028,449.920013427734,633,630.700012207031
10625,521.469970703125,629.599975585938,634.200012207031
7151,318.579986572266,634.200012207031,629.700012207031
2404,105,633.5,630.5
5804,283.149993896484,631.400024414062,633
2253,112.650001525879,637.5,627
2807,126.120002746582,637.299987792969,627.599975585938
3074,142.550003051758,633.200012207031,632.5
723,37.1199989318848,629.200012207031,636.700012207031
5138,290.774993896484,630.299987792969,635.799987792969
20927,953.5,629.599975585938,636.700012207031
3017,138.5,634.400024414062,632.900024414062
957,50,634.700012207031,633.099975585938
1639,90.5,638.400024414062,629.599975585938
4340,209.839996337891,631.900024414062,636.200012207031
5079,224.5,637.700012207031,630.5
6639,304.730010986328,631.5,636.700012207031
1154,62.0999984741211,636.799987792969,631.5
237,11,631.799987792969,636.599975585938
2987,141.210006713867,637.700012207031,631.099975585938
499,30,635.5,633.599975585938
11474,542.650024414062,633.200012207031,636.200012207031
1088,55,631.099975585938,638.700012207031
2660,140.119995117188,637.799987792969,632.099975585938
353,19.9799995422363,636.599975585938,633.5
329,18.5300006866455,644.299987792969,626.099975585938
252,16.5,640.900024414062,630
175,12.5,634.599975585938,636.599975585938
3835,186.199996948242,633,638.200012207031
314,19.25,636.700012207031,634.799987792969
4458,211,633.200012207031,638.700012207031
1313,75.0800018310547,633.900024414062,638.299987792969
474,26.5,634.700012207031,638.299987792969
1114,57.7000007629395,645.400024414062,627.799987792969
1358,65,632.299987792969,641.099975585938
11629,546.299987792969,632.400024414062,641.400024414062
6195,306.75,636.200012207031,637.700012207031
499,20,636.099975585938,637.900024414062
417,23,638,636.200012207031
300,15,640.900024414062,633.799987792969
457,24.3999996185303,644.900024414062,630.400024414062
146,8,646.099975585938,629.799987792969
460,24.2199993133545,633.200012207031,642.700012207031
354,17.7999992370605,636.700012207031,639.299987792969
1841,95,640.400024414062,636
3760,183.75,636.200012207031,640.400024414062
500,22.4300003051758,630.400024414062,646.200012207031
5112,246.899993896484,638.599975585938,638.099975585938
146,7.65999984741211,637.5,639.599975585938
2141,105.819999694824,636.900024414062,640.5
610,30.9799995422363,640.299987792969,638.200012207031
337,16.5499992370605,642.700012207031,635.900024414062
4501,227.850006103516,639.900024414062,638.799987792969
5718,295.049987792969,641.400024414062,637.599975585938
19402,846.380004882812,641.700012207031,637.799987792969
3401,175.550003051758,641.5,638.099975585938
2621,136.830001831055,641.400024414062,638.299987792969
426,20,634.299987792969,645.5
205,11.1999998092651,643.5,636.700012207031
13668,648.409973144531,640.400024414062,639.900024414062
342,18.2000007629395,637.700012207031,643.299987792969
6518,332.100006103516,638.5,643
239,12.1999998092651,644.900024414062,636.900024414062
2911,139.470001220703,640.400024414062,641.799987792969
6272,297.040008544922,639.299987792969,643.599975585938
10218,508.75,638.599975585938,644.299987792969
1735,87.1399993896484,640.799987792969,642.299987792969
474,26.6100006103516,638.900024414062,644.700012207031
544,30,641.799987792969,642.599975585938
1987,103.370002746582,637,647.400024414062
418,22.3999996185303,640.200012207031,644.599975585938
196,10,652.599975585938,632.900024414062
2208,114.5,642,644.099975585938
1255,55,642.599975585938,643.799987792969
1469,78.0999984741211,639.400024414062,647.099975585938
7114,332.839996337891,638.900024414062,647.900024414062
1962,98,641.700012207031,645.099975585938
7761,361,644.200012207031,642.799987792969
216,14,652.700012207031,634.299987792969
224,10,633.599975585938,653.799987792969
7887,391.859985351562,645.700012207031,641.700012207031
752,39.5,652.299987792969,636.099975585938
9328,537.880004882812,644.5,643.900024414062
548,32.2000007629395,652.099975585938,636.700012207031
104,5,649.5,639.400024414062
275,13,643.200012207031,645.700012207031
443,24,644.299987792969,644.700012207031
10337,540.049987792969,646,643.099975585938
806,41.5299987792969,645.299987792969,644.099975585938
227,11.6000003814697,649.700012207031,640.200012207031
8416,391.420013427734,642.900024414062,647.299987792969
149,8.5,656.799987792969,633.700012207031
220,13.3900003433228,658,633.099975585938
4612,232.970001220703,647.700012207031,643.400024414062
590,34.3300018310547,644.799987792969,646.400024414062
133,7.55000019073486,644.299987792969,647.200012207031
2440,121.23999786377,645.5,646
133,6,652.5,639.5
519,26,650.900024414062,641.5
222,11.6599998474121,643,649.700012207031
285,18.7199993133545,641.599975585938,651.200012207031
3129,147.979995727539,647.799987792969,645.200012207031
2019,102.779998779297,649.099975585938,644
5620,267,644,649.400024414062
9775,484.5,645.599975585938,648.200012207031
246,11.5,647.799987792969,646.099975585938
7210,360.350006103516,642.5,651.599975585938
