"students","teachers","read","math","PctEL"
195,10.8999996185303,691.599975585938,690,0
240,11.1499996185303,660.5,661.900024414062,4.58333349227905
1550,82.9000015258789,636.299987792969,650.900024414062,30.0000019073486
243,14,651.900024414062,643.5,0
1335,71.5,641.799987792969,639.900024414062,13.8576774597168
137,6.40000009536743,605.700012207031,605.400024414062,12.4087591171265
195,10,604.5,609,68.7179489135742
888,42.5,605.5,612.5,46.9594612121582
379,19,608.900024414062,616.099975585938,30.0791568756104
2247,108,611.900024414062,613.400024414062,40.2759208679199
446,21,612.799987792969,618.700012207031,52.9147987365723
987,47,616.599975585938,616,54.6099319458008
103,5,612.799987792969,619.799987792969,42.7184448242188
487,24.3400001525879,610,622.599975585938,20.5338802337646
649,36,611.900024414062,621,80.1232604980469
852,42.0699996948242,614.799987792969,619.900024414062,49.413143157959
491,28.9200000762939,611.700012207031,624.400024414062,85.5397186279297
421,25.5,614.900024414062,621.700012207031,58.9073638916016
6880,303.029998779297,619.099975585938,620.5,77.0058135986328
2688,135,621.299987792969,619.299987792969,49.8139877319336
440,24,615.599975585938,625.400024414062,40.6818199157715
475,21,619.900024414062,622.900024414062,16.2105255126953
2538,130.5,622.900024414062,620.599975585938,45.0748634338379
476,19,620.700012207031,623.400024414062,39.0756301879883
2357,114,619.5,625.700012207031,76.6652526855469
1588,85,625,621.200012207031,40.4911842346191
7306,319.799987792969,620.400024414062,626,73.7202301025391
2601,135,616.5,630.400024414062,70.0115356445312
847,44,620.099975585938,627.099975585938,55.962215423584
452,22,627.900024414062,620.400024414062,11.0619468688965
4142,201,620.400024414062,628.700012207031,80.4200897216797
2102,99.75,623,626.900024414062,63.1303558349609
10012,464.899993896484,620.799987792969,629.799987792969,65.1218566894531
2488,125,626.099975585938,625.599975585938,53.4164009094238
25151,1186.69995117188,625.400024414062,626.799987792969,49.823070526123
2267,103.680000305176,625.400024414062,628.200012207031,35.4653701782227
1657,90.4000015258789,623.599975585938,630.200012207031,56.1255264282227
284,17.5,628.900024414062,625.299987792969,32.3943672180176
5370,280,624.400024414062,630.099975585938,65.5121002197266
2471,121.860000610352,627.5,627.099975585938,53.0554428100586
15386,669.359985351562,627.799987792969,628.700012207031,49.6425323486328
184,9,621.599975585938,635.200012207031,45.1086959838867
1217,61.4000015258789,629.400024414062,627.700012207031,30.3204593658447
6219,268,621.099975585938,636.200012207031,52.2431259155273
4258,221,626.5,631,36.8013153076172
1235,53,630.200012207031,629.400024414062,30.2833995819092
16244,766.650024414062,629.5,631.200012207031,49.8645668029785
814,39,631.900024414062,628.900024414062,13.7592134475708
27176,1429,631.599975585938,629.5,28.8637046813965
10696,487.970001220703,628.5,632.599975585938,52.8047866821289
8935,444.5,628.400024414062,633.700012207031,44.0850601196289
1600,74.5,635.700012207031,627.099975585938,35.25
9028,449.920013427734,633,630.700012207031,37.4944610595703
10625,521.469970703125,629.599975585938,634.200012207031,50.3905906677246
7151,318.579986572266,634.200012207031,629.700012207031,31.0725784301758
2404,105,633.5,630.5,18.2612323760986
5804,283.149993896484,631.400024414062,633,34.7002067565918
2253,112.650001525879,637.5,627,33.288948059082
2807,126.120002746582,637.299987792969,627.599975585938,33.4877090454102
3074,142.550003051758,633.200012207031,632.5,38.1587524414062
723,37.1199989318848,629.200012207031,636.700012207031,36.9294624328613
5138,290.774993896484,630.299987792969,635.799987792969,32.9894905090332
20927,953.5,629.599975585938,636.700012207031,58.2166557312012
3017,138.5,634.400024414062,632.900024414062,17.0036468505859
957,50,634.700012207031,633.099975585938,17.6593532562256
1639,90.5,638.400024414062,629.599975585938,7.32153749465942
4340,209.839996337891,631.900024414062,636.200012207031,31.1981563568115
5079,224.5,637.700012207031,630.5,16.6174449920654
6639,304.730010986328,631.5,636.700012207031,58.0810356140137
1154,62.0999984741211,636.799987792969,631.5,55.8925437927246
237,11,631.799987792969,636.599975585938,5.48523235321045
2987,141.210006713867,637.700012207031,631.099975585938,14.4291934967041
499,30,635.5,633.599975585938,22.8456916809082
11474,542.650024414062,633.200012207031,636.200012207031,38.7833366394043
1088,55,631.099975585938,638.700012207031,64.2463226318359
2660,140.119995117188,637.799987792969,632.099975585938,25.225564956665
353,19.9799995422363,636.599975585938,633.5,5.38243627548218
329,18.5300006866455,644.299987792969,626.099975585938,6.07902765274048
