"ahe","age","female","bachelor"
34.61538,30,0,1
19.23077,30,1,1
13.73626,30,1,0
19.23077,30,1,1
19.23077,25,0,1
38.46154,32,1,1
33.65385,33,0,1
9.615385,32,0,0
8,30,1,0
19.23077,30,0,0
9.134615,27,1,0
19.23077,32,1,1
23.07692,31,1,1
13.46154,26,0,0
15.38461,33,1,1
9.615385,33,1,0
26.15385,29,0,1
17.44186,28,1,1
8.413462,31,1,0
8.125,34,0,0
26.44231,29,0,1
6.221719,30,1,0
13.94231,27,1,1
5.769231,29,0,0
48.07692,33,0,1
28.84615,27,1,1
9.615385,25,0,0
12.59615,26,1,1
13.5,29,0,0
14.42308,33,1,1
21.15385,33,0,0
23.07692,31,0,1
2.342657,32,0,1
12.98077,30,0,1
47.16117,33,0,1
4.182693,33,0,0
18.75,30,0,1
13.94231,26,0,0
14.42308,32,0,1
24.03846,30,1,1
19.23077,30,0,1
17.71255,26,1,1
42.78846,27,0,1
15,26,0,1
7.692307,32,0,0
28.84615,27,1,1
15.86539,25,1,0
8.173077,25,0,0
17.30769,34,0,1
18.02885,34,1,1
11.53846,33,0,1
28.84615,33,0,0
11.53846,30,0,0
9.134615,27,1,0
13.46154,32,1,0
15.86539,31,0,1
14.61539,28,0,1
25,32,0,0
11.23385,26,0,0
10.09615,32,0,1
12.5,34,0,1
11.11111,28,1,1
16.82692,30,0,0
31.73077,31,1,1
24.2915,29,1,1
8.798077,33,0,0
13.94231,32,1,0
10.25641,30,1,1
6.25,34,1,0
14.42308,25,1,1
6.730769,33,1,1
15.76923,31,0,0
17.97659,25,0,0
14.42308,30,0,0
12.01923,25,0,0
20.575,34,0,0
18.75,32,1,0
19.23077,28,0,0
48.07692,28,1,1
2.884615,28,0,0
9.615385,33,0,0
11.96581,31,0,1
19.23077,32,0,0
14.42308,27,1,1
15.38461,28,0,0
15.68627,28,0,1
9.615385,31,0,0
20.74899,33,1,0
24.2915,31,0,0
15.46823,25,1,1
21.97802,29,1,1
15.38461,33,1,0
32.05128,34,1,1
17.30769,29,0,1
5.769231,30,1,1
12.5,31,0,1
23.07692,33,0,1
21.63461,26,1,1
20.19231,27,0,1
17.78846,30,0,0
18.26923,25,0,1
19.23077,29,0,0
12.5,33,1,0
20.67308,32,1,0
26.44231,34,0,0
13.46154,34,0,0
37.69231,34,0,0
18.75,28,0,0
16.2037,25,1,0
23.55769,34,1,1
19.71154,33,1,1
21.15385,34,0,0
27.40385,31,0,1
21.36752,31,1,1
14.42308,32,1,0
13.24786,31,0,0
3.205128,26,1,0
13.22115,33,1,1
8.01282,27,0,1
15.38461,27,1,1
7.5,32,0,0
8,31,0,0
13.46154,32,1,0
12.98077,27,0,1
18.75048,30,0,1
28.84615,26,0,0
10.57692,29,1,1
17.03297,29,1,1
10.41667,26,0,0
13.73626,34,0,1
16.58654,32,0,0
11.53846,32,0,1
25,27,0,1
16.875,26,1,1
14.42308,27,1,1
6.734694,25,1,1
14.42308,26,1,1
13.70192,27,1,1
18.46154,25,0,1
14.23077,25,0,1
28.89423,34,1,1
28.84615,28,1,1
20.19231,33,0,0
12.5,25,0,0
23.50427,34,0,1
12.98077,28,0,0
23.84615,33,1,1
17.14047,27,1,0
14.42308,30,0,0
14.42308,30,0,1
10.43956,33,1,1
6.730769,33,0,1
25.96154,33,0,1
28.36539,32,1,1
7.5,32,1,0
17.94872,25,0,1
7.211538,26,1,0
