"deny","pirat","black"
"no",0.221000003814697,"no"
"no",0.265,"no"
"no",0.372000007629395,"no"
"no",0.32,"no"
"no",0.36,"no"
"no",0.24,"no"
"no",0.35,"no"
"no",0.28,"no"
"yes",0.31,"no"
"no",0.18,"no"
"no",0.28,"no"
"no",0.31,"no"
"yes",0.28,"no"
"no",0.36,"no"
"no",0.18,"no"
"no",0.36,"no"
"no",0.23,"no"
"no",0.32,"no"
"no",0.31,"no"
"no",0.37,"no"
"yes",0.37,"no"
"no",0.39,"no"
"no",0.32,"no"
"no",0.39,"no"
"no",0.33,"no"
"no",0.28,"no"
"no",0.37,"no"
"no",0.3,"no"
"no",0.31,"no"
"no",0.26,"yes"
"no",0.36,"no"
"no",0.37,"no"
"no",0.35,"no"
"no",0.37,"no"
"no",0.34,"no"
"no",0.38,"no"
"no",0.44,"no"
"no",0.35,"yes"
"no",0.38,"no"
"no",0.37,"no"
"no",0.37,"no"
"no",0.41,"no"
"yes",0.35,"no"
"yes",0.41,"no"
"no",0.34,"no"
"no",0.29,"no"
"yes",0.27,"no"
"no",0.37,"yes"
"yes",0.34,"no"
"no",0.36,"no"
"no",0.34,"no"
"no",0.27,"no"
"no",0.16,"no"
"no",0.39,"no"
"no",0.36,"no"
"no",0.313999996185303,"no"
"no",0.34,"no"
"no",0.332000007629395,"no"
"no",0.33,"no"
"no",0.399000015258789,"no"
"no",0.342000007629395,"no"
"no",0.375999984741211,"no"
"no",0.320999984741211,"no"
"no",0.278999996185303,"no"
"no",0.317000007629395,"no"
"no",0.285,"yes"
"no",0.365,"no"
"no",0.337000007629395,"no"
"no",0.35,"no"
"no",0.352000007629395,"no"
"no",0.35,"no"
"no",0.344000015258789,"no"
"no",0.28,"no"
"no",0.377999992370605,"no"
"no",0.257999992370605,"no"
"no",0.217999992370605,"no"
"no",0.23,"no"
"no",0.285,"no"
"yes",0.265,"no"
"no",0.36,"no"
"no",0.272000007629395,"no"
"no",0.36,"no"
"yes",0.31,"yes"
"yes",0.359000015258789,"no"
"no",0.397000007629395,"no"
"no",0.34,"no"
"yes",0.218999996185303,"yes"
"no",0.32,"no"
"no",0.32,"no"
"no",0.28,"no"
"yes",0.387999992370605,"yes"
"no",0.25,"no"
"no",0.34,"no"
"no",0.32,"no"
"no",0.312000007629395,"no"
"no",0.33,"no"
"no",0.32,"no"
"no",0.38,"no"
"no",0.32,"no"
"no",0.23,"no"
"no",0.27,"no"
"no",0.313999996185303,"no"
"no",0.35,"no"
"no",0.32,"no"
"no",0.357999992370605,"no"
"yes",0.35,"no"
"no",0.34,"no"
"no",0.31,"no"
"no",0.29,"no"
"yes",0.61,"no"
"no",0.262999992370605,"no"
"no",0.262000007629395,"no"
"no",0.36,"no"
"yes",0.46,"no"
"no",0.305,"no"
"no",0.384000015258789,"no"
"no",0.263999996185303,"no"
"no",0.33,"no"
"yes",0.47,"yes"
"no",0.19,"no"
"no",0.3,"no"
"no",0.36,"no"
"no",0.33,"no"
"no",0.23,"no"
"no",0.41,"no"
"no",0.36,"no"
"yes",0.41,"no"
"no",0.33,"no"
"yes",0.29,"no"
"no",0.41,"no"
"no",0.33,"no"
"no",0.23,"no"
"no",0.39,"no"
"no",0.39,"no"
"no",0.27,"no"
